"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FVIUYLJM","conferencePaper","2020","Miljanovic, Michael A.; Bradbury, Jeremy S.","GidgetML: an adaptive serious game for enhancing first year programming labs","Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering: Software Engineering Education and Training","978-1-4503-7124-7","","10.1145/3377814.3381716","https://doi.org/10.1145/3377814.3381716","Serious games have become a popular alternative learning tool for computer programming education. Research has shown that serious games provide benefits including the development of problem solving skills and increased engagement in the learning process. Despite the benefits, a major challenge of developing serious games is their ability to accommodate students with different educational backgrounds and levels of competency. Learners with a high-level of competence may find a serious games to be too easy or boring, while learners with low-level competence may be frequently frustrated or find it difficult to progress through the game. One solution to this challenge is to use automated adaptation that can alter game content and adjust game tasks to a level appropriate for the learner. The use of adaptation has been successfully utilized in educational domains outside of Software Engineering, but has not been applied to serious programming games. This paper presents GidgetML, an adaptive version of the Gidget programming game, that uses machine learning to modify game tasks based on assessing and predicting learners' competencies. To assess the benefits of adaptation, we have conducted a study involving 100 students in a first-year university programming course. Our study compared the use of Gidget (non-adaptive) with GidgetML (adaptive) and found that students who played Gidget during lab sessions varied significantly in their performance while this variance was significantly reduced for students who played GidgetML.","2020","2024-04-16 18:27:21","2024-04-16 18:27:21","","184–192","","","","","","","ICSE-SEET '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Seoul, South Korea","","","","computer education; computer science; education; game-based learning; machine learning; programming; serious games; software engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICWV8FEK","conferencePaper","2020","Villalobos-Arias, Leonardo; Quesada-López, Christian; Guevara-Coto, Jose; Martínez, Alexandra; Jenkins, Marcelo","Evaluating hyper-parameter tuning using random search in support vector machines for software effort estimation","Proceedings of the 16th ACM International Conference on Predictive Models and Data Analytics in Software Engineering","978-1-4503-8127-7","","10.1145/3416508.3417121","https://doi.org/10.1145/3416508.3417121","Studies in software effort estimation&nbsp;(SEE) have explored the use of hyper-parameter tuning for machine learning algorithms&nbsp;(MLA) to improve the accuracy of effort estimates. In other contexts random search&nbsp;(RS) has shown similar results to grid search, while being less computationally-expensive. In this paper, we investigate to what extent the random search hyper-parameter tuning approach affects the accuracy and stability of support vector regression&nbsp;(SVR) in SEE. Results were compared to those obtained from ridge regression models and grid search-tuned models. A case study with four data sets extracted from the ISBSG 2018 repository shows that random search exhibits similar performance to grid search, rendering it an attractive alternative technique for hyper-parameter tuning. RS-tuned SVR achieved an increase of 0.227 standardized accuracy&nbsp;(SA) with respect to default hyper-parameters. In addition, random search improved prediction stability of SVR models to a minimum ratio of 0.840. The analysis showed that RS-tuned SVR attained performance equivalent to GS-tuned SVR. Future work includes extending this research to cover other hyper-parameter tuning approaches and machine learning algorithms, as well as using additional data sets.","2020","2024-04-16 18:27:21","2024-04-16 18:27:21","","31–40","","","","","","","PROMISE 2020","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual, USA","","","","empirical study; grid search; hyper-parameter tuning; random search; Software effort estimation; support vector machines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W9LYSPZA","conferencePaper","2020","Aljamaan, Hamoud; Alazba, Amal","Software defect prediction using tree-based ensembles","Proceedings of the 16th ACM International Conference on Predictive Models and Data Analytics in Software Engineering","978-1-4503-8127-7","","10.1145/3416508.3417114","https://doi.org/10.1145/3416508.3417114","Software defect prediction is an active research area in software engineering. Accurate prediction of software defects assists software engineers in guiding software quality assurance activities. In machine learning, ensemble learning has been proven to improve the prediction performance over individual machine learning models. Recently, many Tree-based ensembles have been proposed in the literature, and their prediction capabilities were not investigated in defect prediction. In this paper, we will empirically investigate the prediction performance of seven Tree-based ensembles in defect prediction. Two ensembles are classified as bagging ensembles: Random Forest and Extra Trees, while the other five ensembles are boosting ensembles: Ada boost, Gradient Boosting, Hist Gradient Boosting, XGBoost and CatBoost. The study utilized 11 publicly available MDP NASA software defect datasets. Empirical results indicate the superiority of Tree-based bagging ensembles: Random Forest and Extra Trees ensembles over other Tree-based boosting ensembles. However, none of the investigated Tree-based ensembles was significantly lower than individual decision trees in prediction performance. Finally, Adaboost ensemble was the worst performing ensemble among all Tree-based ensembles.","2020","2024-04-16 18:27:21","2024-04-16 18:27:21","","1–10","","","","","","","PROMISE 2020","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual, USA","","","","Bagging; Boosting; Classification; Ensemble Learning; Machine Learning; Prediction; Software Defect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELRRTHQ7","conferencePaper","2024","Arteaga Garcia, Emily Judith; Nicolaci Pimentel, João Felipe; Feng, Zixuan; Gerosa, Marco; Steinmacher, Igor; Sarma, Anita","How to Support ML End-User Programmers through a Conversational Agent","Proceedings of the IEEE/ACM 46th International Conference on Software Engineering","9798400702174","","10.1145/3597503.3608130","https://doi.org/10.1145/3597503.3608130","Machine Learning (ML) is increasingly gaining significance for enduser programmer (EUP) applications. However, machine learning end-user programmers (ML-EUPs) without the right background face a daunting learning curve and a heightened risk of mistakes and flaws in their models. In this work, we designed a conversational agent named ""Newton"" as an expert to support ML-EUPs. Newton's design was shaped by a comprehensive review of existing literature, from which we identified six primary challenges faced by ML-EUPs and five strategies to assist them. To evaluate the efficacy of Newton's design, we conducted a Wizard of Oz within-subjects study with 12 ML-EUPs. Our findings indicate that Newton effectively assisted ML-EUPs, addressing the challenges highlighted in the literature. We also proposed six design guidelines for future conversational agents, which can help other EUP applications and software engineering activities.","2024","2024-04-16 18:27:21","2024-04-16 18:27:21","","","","","","","","","ICSE '24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: <conf-loc>, <city>Lisbon</city>, <country>Portugal</country>, </conf-loc>","","","","conversational agent; end-user programming; wizard of Oz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HCMB48VA","conferencePaper","2020","Islam, Md Johirul; Pan, Rangeet; Nguyen, Giang; Rajan, Hridesh","Repairing deep neural networks: fix patterns and challenges","Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering","978-1-4503-7121-6","","10.1145/3377811.3380378","https://doi.org/10.1145/3377811.3380378","Significant interest in applying Deep Neural Network (DNN) has fueled the need to support engineering of software that uses DNNs. Repairing software that uses DNNs is one such unmistakable SE need where automated tools could be beneficial; however, we do not fully understand challenges to repairing and patterns that are utilized when manually repairing DNNs. What challenges should automated repair tools address? What are the repair patterns whose automation could help developers? Which repair patterns should be assigned a higher priority for building automated bug repair tools? This work presents a comprehensive study of bug fix patterns to address these questions. We have studied 415 repairs from Stack Overflow and 555 repairs from GitHub for five popular deep learning libraries Caffe, Keras, Tensorflow, Theano, and Torch to understand challenges in repairs and bug repair patterns. Our key findings reveal that DNN bug fix patterns are distinctive compared to traditional bug fix patterns; the most common bug fix patterns are fixing data dimension and neural network connectivity; DNN bug fixes have the potential to introduce adversarial vulnerabilities; DNN bug fixes frequently introduce new bugs; and DNN bug localization, reuse of trained model, and coping with frequent releases are major challenges faced by developers when fixing bugs. We also contribute a benchmark of 667 DNN (bug, repair) instances.","2020","2024-04-16 18:27:21","2024-04-16 18:27:21","","1135–1146","","","","","","","ICSE '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Seoul, South Korea","","","","bug fix; bug fix patterns; bugs; deep neural networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JZL2UE6Q","conferencePaper","2020","Zhou, Weijie; Zhao, Yue; Zhang, Guoqiang; Shen, Xipeng","HARP: holistic analysis for refactoring Python-based analytics programs","Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering","978-1-4503-7121-6","","10.1145/3377811.3380434","https://doi.org/10.1145/3377811.3380434","Modern machine learning programs are often written in Python, with the main computations specified through calls to some highly optimized libraries (e.g., TensorFlow, PyTorch). How to maximize the computing efficiency of such programs is essential for many application domains, which has drawn lots of recent attention. This work points out a common limitation in existing efforts: they focus their views only on the static computation graphs specified by library APIs, but leave the influence from the hosting Python code largely unconsidered. The limitation often causes them to miss the big picture and hence many important optimization opportunities. This work proposes a new approach named HARP to address the problem. HARP enables holistic analysis that spans across computation graphs and their hosting Python code. HARP achieves it through a set of novel techniques: analytics-conscious speculative analysis to circumvent Python complexities, a unified representation augmented computation graphs to capture all dimensions of knowledge related with the holistic analysis, and conditioned feedback mechanism to allow risk-controlled aggressive analysis. Refactoring based on HARP gives 1.3–3X and 2.07X average speedups on a set of TensorFlow and PyTorch programs.","2020","2024-04-16 18:27:21","2024-04-16 18:27:21","","506–517","","","","","","","ICSE '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Seoul, South Korea","","","","computation graph; dynamic language; machine learning program; program analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UUPATWS4","conferencePaper","2024","Ahmed, Shibbir; Gao, Hongyang; Rajan, Hridesh","Inferring Data Preconditions from Deep Learning Models for Trustworthy Prediction in Deployment","Proceedings of the IEEE/ACM 46th International Conference on Software Engineering","9798400702174","","10.1145/3597503.3623333","https://doi.org/10.1145/3597503.3623333","Deep learning models are trained with certain assumptions about the data during the development stage and then used for prediction in the deployment stage. It is important to reason about the trustworthiness of the model's predictions with unseen data during deployment. Existing methods for specifying and verifying traditional software are insufficient for this task, as they cannot handle the complexity of DNN model architecture and expected outcomes. In this work, we propose a novel technique that uses rules derived from neural network computations to infer data preconditions for a DNN model to determine the trustworthiness of its predictions. Our approach, DeepInfer involves introducing a novel abstraction for a trained DNN model that enables weakest precondition reasoning using Dijkstra's Predicate Transformer Semantics. By deriving rules over the inductive type of neural network abstract representation, we can overcome the matrix dimensionality issues that arise from the backward non-linear computation from the output layer to the input layer. We utilize the weakest precondition computation using rules of each kind of activation function to compute layer-wise precondition from the given postcondition on the final output of a deep neural network. We extensively evaluated DeepInfer on 29 real-world DNN models using four different datasets collected from five different sources and demonstrated the utility, effectiveness, and performance improvement over closely related work. DeepInfer efficiently detects correct and incorrect predictions of high-accuracy models with high recall (0.98) and high F-1 score (0.84) and has significantly improved over the prior technique, SelfChecker. The average runtime overhead of DeepInfer is low, 0.22 sec for all the unseen datasets. We also compared runtime overhead using the same hardware settings and found that DeepInfer is 3.27 times faster than SelfChecker, the state-of-the-art in this area.","2024","2024-04-16 18:27:21","2024-04-16 18:27:21","","","","","","","","","ICSE '24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: <conf-loc>, <city>Lisbon</city>, <country>Portugal</country>, </conf-loc>","","","","deep neural networks; trustworthiness; weakest precondition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"866A6WI5","conferencePaper","2022","Moin, Armin; Mituca, Andrei; Challenger, Moharram; Badii, Atta; Günnemann, Stephan","ML-quadrat &amp; DriotData: a model-driven engineering tool and a low-code platform for smart IoT services","Proceedings of the ACM/IEEE 44th International Conference on Software Engineering: Companion Proceedings","978-1-4503-9223-5","","10.1145/3510454.3516841","https://doi.org/10.1145/3510454.3516841","In this paper, we present ML-Quadrat, an open-source research prototype that is based on the Eclipse Modeling Framework (EMF) and the state of the art in the literature of Model-Driven Software Engineering (MDSE) for smart Cyber-Physical Systems (CPS) and the Internet of Things (IoT). Its envisioned users are mostly software developers who might not have deep knowledge and skills in the heterogeneous IoT platforms and the diverse Artificial Intelligence (AI) technologies, specifically regarding Machine Learning (ML). ML-Quadrat is released under the terms of the Apache 2.0 license on Github1. Additionally, we demonstrate an early tool prototype of DriotData, a web-based Low-Code platform targeting citizen data scientists and citizen/end-user software developers. DriotData exploits and adopts ML-Quadrat in the industry by offering an extended version of it as a subscription-based service to companies, mainly Small- and Medium-Sized Enterprises (SME). The current preliminary version of DriotData has three web-based model editors: text-based, tree-/form-based and diagram-based. The latter is designed for domain experts in the problem or use case domains (namely the IoT vertical domains) who might not have knowledge and skills in the field of IT. Finally, a short video demonstrating the tools is available on YouTube: https://youtu.be/VAuz25w0a5k.","2022","2024-04-16 18:27:21","2024-04-16 18:27:21","","144–148","","","","","","","ICSE '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Pittsburgh, Pennsylvania","","","","domain-specific modeling; iot; low-code; machine learning; model-driven software engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TSR7ILWH","conferencePaper","2022","d'Aloisio, Giordano","Quality-driven machine learning-based data science pipeline realization: a software engineering approach","Proceedings of the ACM/IEEE 44th International Conference on Software Engineering: Companion Proceedings","978-1-4503-9223-5","","10.1145/3510454.3517067","https://doi.org/10.1145/3510454.3517067","The recently wide adoption of data science approaches to decision making in several application domains (such as health, business and even education) open new challenges in engineering and implementation of this systems. Considering the big picture of data science, Machine learning is the wider used technique and due to its characteristics, we believe that a better engineering methodology and tools are needed to realize innovative data-driven systems able to satisfy the emerging quality attributes (such as, debias and fariness, explainability, privacy and ethics, sustainability). This research project will explore the following three pillars: i) identify key quality attributes, formalize them in the context of data science pipelines and study their relationships; ii) define a new software engineering approach for data-science systems development that assures compliance with quality requirements; iii) implement tools that guide IT professionals and researchers in the realization of ML-based data science pipelines since the requirement engineering. Moreover, in this paper we also presents some details of the project showing how the feature models and model-driven engineering can be leveraged to realize our project.","2022","2024-04-16 18:27:22","2024-04-16 18:27:22","","291–293","","","","","","","ICSE '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Pittsburgh, Pennsylvania","","","","machine learning; model-driven; pipelines; product-line architecture; software quality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X26VAAHK","conferencePaper","2022","Quaranta, Luigi","Assessing the quality of computational notebooks for a frictionless transition from exploration to production","Proceedings of the ACM/IEEE 44th International Conference on Software Engineering: Companion Proceedings","978-1-4503-9223-5","","10.1145/3510454.3517055","https://doi.org/10.1145/3510454.3517055","The massive trend of integrating data-driven AI capabilities into traditional software systems is rising new intriguing challenges. One of such challenges is achieving a smooth transition from the explorative phase of Machine Learning projects - in which data scientists build prototypical models in the lab - to their production phase - in which software engineers translate prototypes into production-ready AI components. To narrow down the gap between these two phases, tools and practices adopted by data scientists might be improved by incorporating consolidated software engineering solutions. In particular, computational notebooks have a prominent role in determining the quality of data science prototypes. In my research project, I address this challenge by studying the best practices for collaboration with computational notebooks and proposing proof-of-concept tools to foster guidelines compliance.","2022","2024-04-16 18:27:22","2024-04-16 18:27:22","","256–260","","","","","","","ICSE '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Pittsburgh, Pennsylvania","","","","artificial intelligence; computational notebooks; data science; linters; machine learning; software engineering; static analysis tools","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HDIL8WWD","conferencePaper","2024","Sun, Minglong; Jung, Woosub; Koltermann, Kenneth; Zhou, Gang; Watson, Amanda; Blackwell, Ginamari; Helm, Noah; Cloud, Leslie; Pretzer-Aboff, Ingrid","Parkinson's Disease Action Tremor Detection with Supervised-Leaning Models","Proceedings of the 8th ACM/IEEE International Conference on Connected Health: Applications, Systems and Engineering Technologies","9798400701023","","10.1145/3580252.3586977","https://doi.org/10.1145/3580252.3586977","People with Parkinson's Disease (PD) have multiple symptoms, such as freezing of gait (FoG), hand tremors, speech difficulties, and balance issues, in different stages of the disease. Among these symptoms, hand tremors are present across all stages of the disease. PD hand tremors have critical consequences and negatively impact the quality of PD patients' everyday lives. Researchers have proposed a variety of wearable devices to mitigate PD tremors. However, these devices require accurate tremor detection technology to work effectively while the tremor occurs. This paper introduces a PD action tremor detection method to recognize PD tremors from regular activities. We used a dataset from 30 PD patients wearing accelerometers and gyroscope sensors on their wrists. We selected time-domain and frequency-domain hand-crafted features. Also, we compared our hand-crafted features with existing CNN data-driven features, and our features have more specific boundaries in 2-D feature visualization using the t-SNE tool. We fed our features into multiple supervised machine learning models, including Logistic Regression (LR), K-Nearest Neighbours (KNNs), Support Vector Machines (SVMs), and Convolutional Neural Networks (CNNs), for detecting PD action tremors. These models were evaluated with 30 PD patients' data. The performance of all models using our features has more than 90% of F1 scores in five-fold cross-validations and 88% F1 scores in the leave-one-out evaluation. Specifically, Support Vector Machines (SVMs) perform the best in five-fold cross-validation with over 92% F1 scores. SVMs also show the best performance in the leave-one-out evaluation with over 90% F1 scores.","2024","2024-04-16 18:27:22","2024-04-16 18:27:22","","1–10","","","","","","","CHASE '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: <conf-loc>, <city>Orlando</city>, <state>FL</state>, <country>USA</country>, </conf-loc>","","","","action tremor detection; parkinson's disease; supervised-learning; wearable device","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CZGHD4Y6","conferencePaper","2024","Seidi, Navid; Tripathy, Ardhendu; Das, Sajal K.","Using Geographic Location-Based Public Health Features in Survival Analysis","Proceedings of the 8th ACM/IEEE International Conference on Connected Health: Applications, Systems and Engineering Technologies","9798400701023","","10.1145/3580252.3586972","https://doi.org/10.1145/3580252.3586972","Time elapsed till an event of interest is often modeled using the survival analysis methodology, which estimates a survival score based on the input features. There is a resurgence of interest in developing more accurate prediction models for time-to-event prediction in personalized healthcare using modern tools such as neural networks. Higher quality features and more frequent observations improve the predictions for a patient, however, the impact of including a patient's geographic location-based public health statistics on individual predictions has not been studied. This paper proposes a complementary improvement to survival analysis models by incorporating public health statistics in the input features. We show that including geographic location-based public health information results in a statistically significant improvement in the concordance index evaluated on the Surveillance, Epidemiology, and End Results (SEER) dataset containing nationwide cancer incidence data. The improvement holds for both the standard Cox proportional hazards model and the state-of-the-art Deep Survival Machines model. Our results indicate the utility of geographic location-based public health features in survival analysis.","2024","2024-04-16 18:27:22","2024-04-16 18:27:22","","80–91","","","","","","","CHASE '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: <conf-loc>, <city>Orlando</city>, <state>FL</state>, <country>USA</country>, </conf-loc>","","","","deep neural networks; machine learning; medical cyber-physical system; smart health; survival analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X652X6HX","conferencePaper","2023","Menzies, Tim","Model Review: A PROMISEing Opportunity","Proceedings of the 19th International Conference on Predictive Models and Data Analytics in Software Engineering","9798400703751","","10.1145/3617555.3617876","https://doi.org/10.1145/3617555.3617876","To make models more understandable and correctable, I propose that the PROMISE community pivots to the problem of model review. Over the years, there have been many reports that very simple mod- els can perform exceptionally well. Yet, where are the researchers asking “say, does that mean that we could make software analytics simpler and more comprehensible?” This is an important question, since humans often have difficulty accurately assessing complex models (leading to unreliable and sometimes dangerous results). Prior PROMISE results have shown that data mining can effectively summarizing large models/ data sets into simpler and smaller ones. Therefore, the PROMISE community has the skills and experience needed to redefine, simplify, and improve the relationship between humans and AI.","2023","2024-04-16 18:27:22","2024-04-16 18:27:22","","64–68","","","","","","","PROMISE 2023","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: <conf-loc>, <city>San Francisco</city>, <state>CA</state>, <country>USA</country>, </conf-loc>","","","","data mining; discrimination; Model; optimization; review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"944YJAI9","conferencePaper","2016","Anish, Preethu Rose; Balasubramaniam, Balaji; Sainani, Abhishek; Cleland-Huang, Jane; Daneva, Maya; Wieringa, Roel J.; Ghaisas, Smita","Probing for requirements knowledge to stimulate architectural thinking","Proceedings of the 38th International Conference on Software Engineering","978-1-4503-3900-1","","10.1145/2884781.2884801","https://doi.org/10.1145/2884781.2884801","Software requirements specifications (SRSs) often lack the detail needed to make informed architectural decisions. Architects therefore either make assumptions, which can lead to incorrect decisions, or conduct additional stakeholder interviews, resulting in potential project delays. We previously observed that software architects ask Probing Questions (PQs) to gather information crucial to architectural decision-making. Our goal is to equip Business Analysts with appropriate PQs so that they can ask these questions themselves. We report a new study with over 40 experienced architects to identify reusable PQs for five areas of functionality and organize them into structured flows. These PQ-flows can be used by Business Analysts to elicit and specify architecturally relevant information. Additionally, we leverage machine learning techniques to determine when a PQ-flow is appropriate for use in a project, and to annotate individual PQs with relevant information extracted from the existing SRS. We trained and evaluated our approach on over 8,000 individual requirements from 114 requirements specifications and also conducted a pilot study to validate its usefulness.","2016","2024-04-16 18:27:22","2024-04-16 18:27:22","","843–854","","","","","","","ICSE '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Austin, Texas","","","","architecturally significant requirements; automated requirement classification; functional requirements; PQ-flows; Probing Questions (PQs); requirements knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YQANKF8S","conferencePaper","2022","Pan, Rangeet; Rajan, Hridesh","Decomposing convolutional neural networks into reusable and replaceable modules","Proceedings of the 44th International Conference on Software Engineering","978-1-4503-9221-1","","10.1145/3510003.3510051","https://doi.org/10.1145/3510003.3510051","Training from scratch is the most common way to build a Convolutional Neural Network (CNN) based model. What if we can build new CNN models by reusing parts from previously built CNN models? What if we can improve a CNN model by replacing (possibly faulty) parts with other parts? In both cases, instead of training, can we identify the part responsible for each output class (module) in the model(s) and reuse or replace only the desired output classes to build a model? Prior work has proposed decomposing dense-based networks into modules (one for each output class) to enable reusability and replaceability in various scenarios. However, this work is limited to the dense layers and is based on the one-to-one relationship between the nodes in consecutive layers. Due to the shared architecture in the CNN model, prior work cannot be adapted directly. In this paper, we propose to decompose a CNN model used for image classification problems into modules for each output class. These modules can further be reused or replaced to build a new model. We have evaluated our approach with CIFAR-10, CIFAR-100, and ImageNet tiny datasets with three variations of ResNet models and found that enabling decomposition comes with a small cost (1.77% and 0.85% for top-1 and top-5 accuracy, respectively). Also, building a model by reusing or replacing modules can be done with a 2.3% and 0.5% average loss of accuracy. Furthermore, reusing and replacing these modules reduces CO2e emission by 37 times compared to training the model from scratch.","2022","2024-04-16 18:27:22","2024-04-16 18:27:22","","524–535","","","","","","","ICSE '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Pittsburgh, Pennsylvania","","","","cnn; decomposition; deep learning; deep neural network; modularity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
