"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Practitioners’ insights on machine-learning software engineering design patterns: a preliminary study","H. Washizaki; H. Takeuchi; F. Khomh; N. Natori; T. Doi; S. Okuda","Waseda University; Musashi University; Polytechnique Montréal; AISIN SEIKI Co., Ltd.; Lifematics Inc.; Japan Advanced Institute of Science and Technology","2020 IEEE International Conference on Software Maintenance and Evolution (ICSME)","2 Nov 2020","2020","","","797","799","Machine-learning (ML) software engineering design patterns encapsulate reusable solutions to commonly occurring problems within the given contexts of ML systems and software design. These ML patterns should help develop and maintain ML systems and software from the design perspective. However, to the best of our knowledge, there is no study on the practitioners' insights on the use of ML patterns for design of their ML systems and software. Herein we report the preliminary results of a literature review and a questionnaire-based survey on ML system developers' state-of-practices with concrete ML patterns.","2576-3148","978-1-7281-5619-4","10.1109/ICSME46990.2020.00095","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9240692","Machine Learning;Design Patterns;Systematic Literature Review;Questionnaire Survey","Software maintenance;Software design;Conferences;Bibliographies;Machine learning;Software engineering","","8","","26","IEEE","2 Nov 2020","","","IEEE","IEEE Conferences"
"MLCatchUp: Automated Update of Deprecated Machine-Learning APIs in Python","S. A. Haryono; F. Thung; D. Lo; J. Lawall; L. Jiang","School of Information Systems, Singapore Management University, Singapore; School of Information Systems, Singapore Management University, Singapore; School of Information Systems, Singapore Management University, Singapore; Inria, France; School of Information Systems, Singapore Management University, Singapore","2021 IEEE International Conference on Software Maintenance and Evolution (ICSME)","24 Nov 2021","2021","","","584","588","Machine learning (ML) libraries are gaining vast popularity, especially in the Python programming language. Using the latest version of such libraries is recommended to ensure the best performance and security. When migrating to the latest version of a machine learning library, usages of deprecated APIs need to be updated, which is a time-consuming process. In this paper, we propose MLCatchUp, an automated API usage update tool for deprecated APIs of popular ML libraries written in Python. MLCatchUp automatically infers the required transformation to migrate usages of deprecated API through the differences between the deprecated and updated API signatures. MLCatchUp offers a readable transformation rule in the form of a domain specific language (DSL). We evaluate MLCatchUp using a dataset of 267 real-world Python code containing 551 usages of 68 distinct deprecated APIs, where MLCatchUp achieves 90.7% accuracy. A video demonstration of MLCatchUp is available at https://youtu.be/5NjOPNt5iaA.","2576-3148","978-1-6654-2882-8","10.1109/ICSME52107.2021.00061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9609153","Python;Program Transformation;Automatic Update;Deprecated API","Software maintenance;Codes;Conferences;Machine learning;Tools;Libraries;Security","","2","","19","IEEE","24 Nov 2021","","","IEEE","IEEE Conferences"
"Defuse: A Data Annotator and Model Builder for Software Defect Prediction","S. D. Palma; D. Di Nucci; D. Tamburri",Tilburg University/JADS; University of Salerno; Eindhoven University/JADS,"2022 IEEE International Conference on Software Maintenance and Evolution (ICSME)","19 Dec 2022","2022","","","479","483","We propose a language-agnostic tool for software defect prediction, called DEFUSE. The tool automatically collects and classifies failure data, enables the correction of those classifications, and builds machine learning models to detect defects based on those data. We instantiated the tool in the scope of Infrastructure-as-Code, the DevOps practice enabling management and provisioning of infrastructure through the definition of machine-readable files. We present its architecture and provide examples of its application.Demo video: https://youtu.be/37mmLdCX3jU.","2576-3148","978-1-6654-7956-1","10.1109/ICSME55016.2022.00063","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9978237","defect prediction;machine learning;mining software repositories","Software maintenance;Costs;Instruments;Machine learning;Computer architecture;Predictive models;Maintenance engineering","","1","","19","IEEE","19 Dec 2022","","","IEEE","IEEE Conferences"
"Ticket Tagger: Machine Learning Driven Issue Classification","R. Kallis; A. Di Sorbo; G. Canfora; S. Panichella","Department of Informatics, University of Zurich, Zurich, Switzerland; Department of Engineering, University of Sannio, Benevento, Italy; Department of Engineering, University of Sannio, Benevento, Italy; School of Engineering, Zurich University of Applied Sciences, Zurich, Switzerland","2019 IEEE International Conference on Software Maintenance and Evolution (ICSME)","5 Dec 2019","2019","","","406","409","Software maintenance is crucial for software projects evolution and success: code should be kept up-to-date and error-free, this with little effort and continuous updates for the end-users. In this context, issue trackers are essential tools for creating, managing and addressing the several (often hundreds of) issues that occur in software systems. A critical aspect for handling and prioritizing issues involves the assignment of labels to them (e.g., for projects hosted on GitHub), in order to determine the type (e.g., bug report, feature request and so on) of each specific issue. Although this labeling process has a positive impact on the effectiveness of issue processing, the current labeling mechanism is scarcely used on GitHub. In this demo, we introduce a tool, called Ticket Tagger, which leverages machine learning strategies on issue titles and descriptions for automatically labeling GitHub issues. Ticket Tagger automatically predicts the labels to assign to issues, with the aim of stimulating the use of labeling mechanisms in software projects, this to facilitate the issue management and prioritization processes. Along with the presentation of the tool's architecture and usage, we also evaluate its effectiveness in performing the issue labeling/classification process, which is critical to help maintainers to keep control of their workloads by focusing on the most critical issue tickets.","2576-3148","978-1-7281-3094-1","10.1109/ICSME.2019.00070","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8918993","Software maintenance and evolution;Issue Processing;Unstructured Data Labeling","Computer bugs;Labeling;Software maintenance;Pattern classification;Software systems","","52","","14","IEEE","5 Dec 2019","","","IEEE","IEEE Conferences"
"RepoQuester: A Tool Towards Evaluating GitHub Projects","K. Boyalakuntla; M. Nagappan; S. Chimalakonda; N. Munaiah","Indian Institute of Technology, Tirupati, India; University of Waterloo, Canada; Indian Institute of Technology, Tirupati, India; Rochester Institute of Technology, USA","2022 IEEE International Conference on Software Maintenance and Evolution (ICSME)","19 Dec 2022","2022","","","509","513","Given the drastic rise of repositories on GitHub, it is often hard for developers to find relevant projects meeting their requirements as analyzing source code and other artifacts is effort-intensive. In our prior work, we proposed Repo Reaper (or simply Reaper) that assesses GitHub projects based on seven metrics spanning across project collaboration, quality, and maintenance. Reaper identified 1.4 million projects out of nearly 1.8 million projects to have no purpose for collaboration or software development by classifying them into ‘engineered’ and ‘non-engineered’ software projects. While Reaper can be used to assess millions of repositories based on GHTorrent, it is not designed to be used by developers for standalone repositories on local machines and is dependent on GHTorrent. Hence, in this paper, we propose a re-engineered and extended command-line tool named RepoQuester that aims to assist developers in evaluating GitHub projects on their local machines. RepoQuester computes metrics for projects and does not classify projects into ‘engineered’ and ‘non-engineered’ ones. However, to demonstrate the correctness of metric scores produced by RepoQuester, we have performed the project classification on the Reaper’s training and validation datasets by updating them with the latest metric scores (as reported by RepoQuester). These datasets have their ground truth manually established. During the analysis, we observed that the machine learning classifiers built on the updated datasets produced an F1 score of 72%. During the evaluation, for each project, we found that RepoQuester can analyze metric scores in less than 10 seconds. A demo video explaining the tool highlights and usage is available at https://youtu.be/Q8OdmNzUfN0, and source code at https://github.com/Kowndinya2000/Repoquester.","2576-3148","978-1-6654-7956-1","10.1109/ICSME55016.2022.00069","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9978187","Mining Software Repositories;GHTorrent;GitHub;Repo Reaper","Measurement;Training;Visualization;Software maintenance;Source coding;Collaboration;Machine learning","","","","17","IEEE","19 Dec 2022","","","IEEE","IEEE Conferences"
"Design Smell Detection and Analysis for Open Source Java Software","A. Imran","Computer Science and Engineering, University at Buffalo, Buffalo, New York","2019 IEEE International Conference on Software Maintenance and Evolution (ICSME)","5 Dec 2019","2019","","","644","648","Software design smells have gained significant importance in recent years since those directly lead to the increase of design debts and drastically affect software quality. Although the impact of design smells is manifold, techniques to detect design smells using both rule based and data mining approaches have been explored to a limited extent. This research aims to provide a tool which uses software metrics as a guide to detect smells and also deploys Spectral Clustering to mine the software repositories and group similar smells. The tool has been partially implemented till now and initial experiments on 2,59,509 Lines of Code (LoC) covering 3,306 classes of real life open source Java software show 2,220 occurrences of four types of design smells.","2576-3148","978-1-7281-3094-1","10.1109/ICSME.2019.00104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8919054","Design Smell Detection, Design Smell Analysis, Software Engineering","Software;Tools;Java;Software metrics;Machine learning;Unsupervised learning;Data mining","","4","","31","IEEE","5 Dec 2019","","","IEEE","IEEE Conferences"
"Why Don’t XAI Techniques Agree? Characterizing the Disagreements Between Post-hoc Explanations of Defect Predictions","S. Roy; G. Laberge; B. Roy; F. Khomh; A. Nikanjam; S. Mondal","University of Saskatchewan, Canada; Polytechnique Montréal, Canada; University of Saskatchewan, Canada; University of Saskatchewan, Canada; University of Saskatchewan, Canada; University of Saskatchewan, Canada","2022 IEEE International Conference on Software Maintenance and Evolution (ICSME)","19 Dec 2022","2022","","","444","448","Machine Learning (ML) based defect prediction models can be used to improve the reliability and overall quality of software systems. However, such defect predictors might not be deployed in real applications due to the lack of transparency. Thus, recently, application of several post-hoc explanation methods (e.g., LIME and SHAP) have gained popularity. These explanation methods can offer insight by ranking features based on their importance in black box decisions. The explainability of ML techniques is reasonably novel in the Software Engineering community. However, it is still unclear whether such explainability methods genuinely help practitioners make better decisions regarding software maintenance. Recent user studies show that data scientists usually utilize multiple post-hoc explainers to understand a single model decision because of the lack of ground truth. Such a scenario causes disagreement between explainability methods and impedes drawing a conclusion. Therefore, our study first investigates three disagreement metrics between LIME and SHAP explanations of 10 defect-predictors, and exposes that disagreements regarding the rankings of feature importance are most frequent. Our findings lead us to propose a method of aggregating LIME and SHAP explanations that puts less emphasis on these disagreements while highlighting the aspect on which explanations agree.","2576-3148","978-1-6654-7956-1","10.1109/ICSME55016.2022.00056","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9978217","Empirical;Defect Prediction;eXplainable AI;LIME;SHAP;Software Maintenance","Measurement;Software maintenance;Closed box;Machine learning;Predictive models;Maintenance engineering;Software systems","","4","","23","IEEE","19 Dec 2022","","","IEEE","IEEE Conferences"
"Leveraging Textual and Non-Textual Features for Documentation Decluttering","G. Colavito; P. Basile; N. Novielli","Dept. of Computer Science, University of Bari Aldo Moro, Bari, Italy; Dept. of Computer Science, University of Bari Aldo Moro, Bari, Italy; Dept. of Computer Science, University of Bari Aldo Moro, Bari, Italy","2020 IEEE International Conference on Software Maintenance and Evolution (ICSME)","2 Nov 2020","2020","","","862","863","This paper describes the participation of a team from the University of Bari in the Decluttering Challenge organized in the scope of the DocGen2 workshop. We propose a supervised approach relying on a minimal set of non-textual features (length, overlapping between the comment text and the source code, code block type, tags, comment type) and classical textual features (bag-of-words). Our system ranked 2nd in the documentation decluttering task.","2576-3148","978-1-7281-5619-4","10.1109/ICSME46990.2020.00113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9240676","Machine Learning;Source Code Comments","Software maintenance;Conferences;Documentation;Task analysis","","","","3","IEEE","2 Nov 2020","","","IEEE","IEEE Conferences"
"Engineering Accessible Software","A. Krishnavajjala; K. Moran","Department of Computer Science, George Mason University, Fairfax, United States; Department of Computer Science, George Mason University, Fairfax, United States","2023 IEEE International Conference on Software Maintenance and Evolution (ICSME)","11 Dec 2023","2023","","","597","600","This paper discusses a research agenda at the intersection of Machine Learning, Software Engineering, and Human-Computer Interaction aimed at creating intelligent tools that enable developers to build more accessible software. First, we discuss the creation of MOTOREASE, a novel approach that utilizes computer vision and text processing techniques to identify accessibility issues in mobile app UIs for motor-impaired users. The tool detects four motor-impaired user-focused UI design guidelines: touch target size, expanding sections, persisting elements, and adjacent icon distance, with an average accuracy of around 90%. This represents a significant step towards improving software accessibility for all users. Finally, we discuss our future work for better-supporting developers with tools to engineer accessible software.","2576-3148","979-8-3503-2783-0","10.1109/ICSME58846.2023.00079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10336281","Accessibility;Deep Learning;Mobile Apps;UI Understanding","Human computer interaction;Software maintenance;Computer vision;Design methodology;Machine learning;Mobile applications;Text processing","","","","34","IEEE","11 Dec 2023","","","IEEE","IEEE Conferences"
"An Empirical Study on the Usage of Automated Machine Learning Tools","F. Majidi; M. Openja; F. Khomh; H. Li","Polytechnique Montréal, Montréal, Quebec, Canada; Polytechnique Montréal, Montréal, Quebec, Canada; Polytechnique Montréal, Montréal, Quebec, Canada; Polytechnique Montréal, Montréal, Quebec, Canada","2022 IEEE International Conference on Software Maintenance and Evolution (ICSME)","19 Dec 2022","2022","","","59","70","The popularity of automated machine learning (AutoML) tools in different domains has increased over the past few years. Machine learning (ML) practitioners use AutoML tools to automate and optimize the process of feature engineering, model training, and hyperparameter optimization and so on. Recent work performed qualitative studies on practitioners’ experiences of using AutoML tools and compared different AutoML tools based on their performance and provided features, but none of the existing work studied the practices of using AutoML tools in real-world projects at a large scale. Therefore, we conducted an empirical study to understand how ML practitioners use AutoML tools in their projects. To this end, we examined the top 10 most used AutoML tools and their respective usages in a large number of open-source project repositories hosted on GitHub. The results of our study show 1) which AutoML tools are mostly used by ML practitioners and 2) the characteristics of the repositories that use these AutoML tools. Also, we identified the purpose of using AutoML tools (e.g. model parameter sampling, search space management, model evaluation/error-analysis, Data/ feature transformation, and data labeling) and the stages of the ML pipeline (e.g. feature engineering) where AutoML tools are used. Finally, we report how often AutoML tools are used together in the same source code files. We hope our results can help ML practitioners learn about different AutoML tools and their usages, so that they can pick the right tool for their purposes. Besides, AutoML tool developers can benefit from our findings to gain insight into the usages of their tools and improve their tools to better fit the users’ usages and needs.","2576-3148","978-1-6654-7956-1","10.1109/ICSME55016.2022.00014","Natural Sciences and Engineering Research Council of Canada; Canadian Institute for Advanced Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9978249","Empirical;Automated machine learning;Au-toML tools;GitHub repository","Training;Software maintenance;Source coding;Pipelines;Machine learning;Data models;Labeling","","6","","64","IEEE","19 Dec 2022","","","IEEE","IEEE Conferences"
